"icd","ccs","ccsdesc","icddesc","optccs","optccsdesc","icdvers"
"01125","1","Tuberculosis","TB LUNG W CAVIT-HISTO DX",,,"ICD-9-CM"
"01126","1","Tuberculosis","TB LUNG W CAVIT-OTH TEST",,,"ICD-9-CM"
"01130","1","Tuberculosis","TB OF BRONCHUS-UNSPEC",,,"ICD-9-CM"
"01131","1","Tuberculosis","TB OF BRONCHUS-NO EXAM",,,"ICD-9-CM"
"01132","1","Tuberculosis","TB OF BRONCHUS-EXAM UNKN",,,"ICD-9-CM"
"01133","1","Tuberculosis","TB OF BRONCHUS-MICRO DX",,,"ICD-9-CM"
"01134","1","Tuberculosis","TB OF BRONCHUS-CULT DX",,,"ICD-9-CM"
"01135","1","Tuberculosis","TB OF BRONCHUS-HISTO DX",,,"ICD-9-CM"
"01136","1","Tuberculosis","TB OF BRONCHUS-OTH TEST",,,"ICD-9-CM"
"01140","1","Tuberculosis","TB LUNG FIBROSIS-UNSPEC",,,"ICD-9-CM"
"01141","1","Tuberculosis","TB LUNG FIBROSIS-NO EXAM",,,"ICD-9-CM"
"01142","1","Tuberculosis","TB LUNG FIBROS-EXAM UNKN",,,"ICD-9-CM"
"01143","1","Tuberculosis","TB LUNG FIBROS-MICRO DX",,,"ICD-9-CM"
"01144","1","Tuberculosis","TB LUNG FIBROSIS-CULT DX",,,"ICD-9-CM"
"01145","1","Tuberculosis","TB LUNG FIBROS-HISTO DX",,,"ICD-9-CM"
"01146","1","Tuberculosis","TB LUNG FIBROS-OTH TEST",,,"ICD-9-CM"
"01150","1","Tuberculosis","TB BRONCHIECTASIS-UNSPEC",,,"ICD-9-CM"
"01151","1","Tuberculosis","TB BRONCHIECT-NO EXAM",,,"ICD-9-CM"
"01152","1","Tuberculosis","TB BRONCHIECT-EXAM UNKN",,,"ICD-9-CM"
"01153","1","Tuberculosis","TB BRONCHIECT-MICRO DX",,,"ICD-9-CM"
"01154","1","Tuberculosis","TB BRONCHIECT-CULT DX",,,"ICD-9-CM"
"01155","1","Tuberculosis","TB BRONCHIECT-HISTO DX",,,"ICD-9-CM"
"01156","1","Tuberculosis","TB BRONCHIECT-OTH TEST",,,"ICD-9-CM"
"01160","1","Tuberculosis","TB PNEUMONIA-UNSPEC",,,"ICD-9-CM"
"01161","1","Tuberculosis","TB PNEUMONIA-NO EXAM",,,"ICD-9-CM"
"01162","1","Tuberculosis","TB PNEUMONIA-EXAM UNKN",,,"ICD-9-CM"
"01163","1","Tuberculosis","TB PNEUMONIA-MICRO DX",,,"ICD-9-CM"
"01164","1","Tuberculosis","TB PNEUMONIA-CULT DX",,,"ICD-9-CM"
"01165","1","Tuberculosis","TB PNEUMONIA-HISTO DX",,,"ICD-9-CM"
"01166","1","Tuberculosis","TB PNEUMONIA-OTH TEST",,,"ICD-9-CM"
"01170","1","Tuberculosis","TB PNEUMOTHORAX-UNSPEC",,,"ICD-9-CM"
"01171","1","Tuberculosis","TB PNEUMOTHORAX-NO EXAM",,,"ICD-9-CM"
"01172","1","Tuberculosis","TB PNEUMOTHORX-EXAM UNKN",,,"ICD-9-CM"
"01173","1","Tuberculosis","TB PNEUMOTHORAX-MICRO DX",,,"ICD-9-CM"
"01174","1","Tuberculosis","TB PNEUMOTHORAX-CULT DX",,,"ICD-9-CM"
"01175","1","Tuberculosis","TB PNEUMOTHORAX-HISTO DX",,,"ICD-9-CM"
"01176","1","Tuberculosis","TB PNEUMOTHORAX-OTH TEST",,,"ICD-9-CM"
"01180","1","Tuberculosis","PULMONARY TB NEC-UNSPEC",,,"ICD-9-CM"
"01181","1","Tuberculosis","PULMONARY TB NEC-NO EXAM",,,"ICD-9-CM"
"01182","1","Tuberculosis","PULMON TB NEC-EXAM UNKN",,,"ICD-9-CM"
"01183","1","Tuberculosis","PULMON TB NEC-MICRO DX",,,"ICD-9-CM"
"01184","1","Tuberculosis","PULMON TB NEC-CULT DX",,,"ICD-9-CM"
"01185","1","Tuberculosis","PULMON TB NEC-HISTO DX",,,"ICD-9-CM"
"01186","1","Tuberculosis","PULMON TB NEC-OTH TEST",,,"ICD-9-CM"
"01190","1","Tuberculosis","PULMONARY TB NOS-UNSPEC",,,"ICD-9-CM"
"01191","1","Tuberculosis","PULMONARY TB NOS-NO EXAM",,,"ICD-9-CM"
"01192","1","Tuberculosis","PULMON TB NOS-EXAM UNKN",,,"ICD-9-CM"
"01193","1","Tuberculosis","PULMON TB NOS-MICRO DX",,,"ICD-9-CM"
"01194","1","Tuberculosis","PULMON TB NOS-CULT DX",,,"ICD-9-CM"
"01195","1","Tuberculosis","PULMON TB NOS-HISTO DX",,,"ICD-9-CM"
"01196","1","Tuberculosis","PULMON TB NOS-OTH TEST",,,"ICD-9-CM"
"01200","1","Tuberculosis","TB PLEURISY-UNSPEC",,,"ICD-9-CM"
"01201","1","Tuberculosis","TB PLEURISY-NO EXAM",,,"ICD-9-CM"
"01202","1","Tuberculosis","TB PLEURISY-EXAM UNKN",,,"ICD-9-CM"
"01203","1","Tuberculosis","TB PLEURISY-MICRO DX",,,"ICD-9-CM"
"01204","1","Tuberculosis","TB PLEURISY-CULT DX",,,"ICD-9-CM"
"01205","1","Tuberculosis","TB PLEURISY-HISTOLOG DX",,,"ICD-9-CM"
"01206","1","Tuberculosis","TB PLEURISY-OTH TEST",,,"ICD-9-CM"
"01210","1","Tuberculosis","TB THORACIC NODES-UNSPEC",,,"ICD-9-CM"
"01211","1","Tuberculosis","TB THORAX NODE-NO EXAM",,,"ICD-9-CM"
"01212","1","Tuberculosis","TB THORAX NODE-EXAM UNKN",,,"ICD-9-CM"
"01213","1","Tuberculosis","TB THORAX NODE-MICRO DX",,,"ICD-9-CM"
"01214","1","Tuberculosis","TB THORAX NODE-CULT DX",,,"ICD-9-CM"
"01215","1","Tuberculosis","TB THORAX NODE-HISTO DX",,,"ICD-9-CM"
"01216","1","Tuberculosis","TB THORAX NODE-OTH TEST",,,"ICD-9-CM"
"01220","1","Tuberculosis","ISOL TRACHEAL TB-UNSPEC",,,"ICD-9-CM"
"01221","1","Tuberculosis","ISOL TRACHEAL TB-NO EXAM",,,"ICD-9-CM"
"01222","1","Tuberculosis","ISOL TRACH TB-EXAM UNKN",,,"ICD-9-CM"
"01223","1","Tuberculosis","ISOLAT TRACH TB-MICRO DX",,,"ICD-9-CM"
"01224","1","Tuberculosis","ISOL TRACHEAL TB-CULT DX",,,"ICD-9-CM"
"01225","1","Tuberculosis","ISOLAT TRACH TB-HISTO DX",,,"ICD-9-CM"
"01226","1","Tuberculosis","ISOLAT TRACH TB-OTH TEST",,,"ICD-9-CM"
"01230","1","Tuberculosis","TB LARYNGITIS-UNSPEC",,,"ICD-9-CM"
"01231","1","Tuberculosis","TB LARYNGITIS-NO EXAM",,,"ICD-9-CM"
"01232","1","Tuberculosis","TB LARYNGITIS-EXAM UNKN",,,"ICD-9-CM"
"01233","1","Tuberculosis","TB LARYNGITIS-MICRO DX",,,"ICD-9-CM"
"01234","1","Tuberculosis","TB LARYNGITIS-CULT DX",,,"ICD-9-CM"
"01235","1","Tuberculosis","TB LARYNGITIS-HISTO DX",,,"ICD-9-CM"
"01236","1","Tuberculosis","TB LARYNGITIS-OTH TEST",,,"ICD-9-CM"
"01280","1","Tuberculosis","RESP TB NEC-UNSPEC",,,"ICD-9-CM"
"01281","1","Tuberculosis","RESP TB NEC-NO EXAM",,,"ICD-9-CM"
"01282","1","Tuberculosis","RESP TB NEC-EXAM UNKN",,,"ICD-9-CM"
"01283","1","Tuberculosis","RESP TB NEC-MICRO DX",,,"ICD-9-CM"
"01284","1","Tuberculosis","RESP TB NEC-CULT DX",,,"ICD-9-CM"
"01285","1","Tuberculosis","RESP TB NEC-HISTO DX",,,"ICD-9-CM"
"01286","1","Tuberculosis","RESP TB NEC-OTH TEST",,,"ICD-9-CM"
"01300","1","Tuberculosis","TB MENINGITIS-UNSPEC",,,"ICD-9-CM"
"01301","1","Tuberculosis","TB MENINGITIS-NO EXAM",,,"ICD-9-CM"
"01302","1","Tuberculosis","TB MENINGITIS-EXAM UNKN",,,"ICD-9-CM"
"01303","1","Tuberculosis","TB MENINGITIS-MICRO DX",,,"ICD-9-CM"
"01304","1","Tuberculosis","TB MENINGITIS-CULT DX",,,"ICD-9-CM"
"01305","1","Tuberculosis","TB MENINGITIS-HISTO DX",,,"ICD-9-CM"
"01306","1","Tuberculosis","TB MENINGITIS-OTH TEST",,,"ICD-9-CM"
"01310","1","Tuberculosis","TUBRCLMA MENINGES-UNSPEC",,,"ICD-9-CM"
"01311","1","Tuberculosis","TUBRCLMA MENING-NO EXAM",,,"ICD-9-CM"
"01312","1","Tuberculosis","TUBRCLMA MENIN-EXAM UNKN",,,"ICD-9-CM"
"01313","1","Tuberculosis","TUBRCLMA MENING-MICRO DX",,,"ICD-9-CM"
"01314","1","Tuberculosis","TUBRCLMA MENING-CULT DX",,,"ICD-9-CM"
"01315","1","Tuberculosis","TUBRCLMA MENING-HISTO DX",,,"ICD-9-CM"
"01316","1","Tuberculosis","TUBRCLMA MENING-OTH TEST",,,"ICD-9-CM"
"01320","1","Tuberculosis","TUBERCULOMA BRAIN-UNSPEC",,,"ICD-9-CM"
"01321","1","Tuberculosis","TUBRCLOMA BRAIN-NO EXAM",,,"ICD-9-CM"
"01322","1","Tuberculosis","TUBRCLMA BRAIN-EXAM UNKN",,,"ICD-9-CM"
"01323","1","Tuberculosis","TUBRCLOMA BRAIN-MICRO DX",,,"ICD-9-CM"
"01324","1","Tuberculosis","TUBRCLOMA BRAIN-CULT DX",,,"ICD-9-CM"
"01325","1","Tuberculosis","TUBRCLOMA BRAIN-HISTO DX",,,"ICD-9-CM"
"01326","1","Tuberculosis","TUBRCLOMA BRAIN-OTH TEST",,,"ICD-9-CM"
"01330","1","Tuberculosis","TB BRAIN ABSCESS-UNSPEC",,,"ICD-9-CM"
"01331","1","Tuberculosis","TB BRAIN ABSCESS-NO EXAM",,,"ICD-9-CM"
"01332","1","Tuberculosis","TB BRAIN ABSC-EXAM UNKN",,,"ICD-9-CM"
"01333","1","Tuberculosis","TB BRAIN ABSC-MICRO DX",,,"ICD-9-CM"
"01334","1","Tuberculosis","TB BRAIN ABSCESS-CULT DX",,,"ICD-9-CM"
"01335","1","Tuberculosis","TB BRAIN ABSC-HISTO DX",,,"ICD-9-CM"
"01336","1","Tuberculosis","TB BRAIN ABSC-OTH TEST",,,"ICD-9-CM"
"01340","1","Tuberculosis","TUBRCLMA SP CORD-UNSPEC",,,"ICD-9-CM"
"01341","1","Tuberculosis","TUBRCLMA SP CORD-NO EXAM",,,"ICD-9-CM"
"01342","1","Tuberculosis","TUBRCLMA SP CD-EXAM UNKN",,,"ICD-9-CM"
"01343","1","Tuberculosis","TUBRCLMA SP CRD-MICRO DX",,,"ICD-9-CM"
"01344","1","Tuberculosis","TUBRCLMA SP CORD-CULT DX",,,"ICD-9-CM"
"01345","1","Tuberculosis","TUBRCLMA SP CRD-HISTO DX",,,"ICD-9-CM"
"01346","1","Tuberculosis","TUBRCLMA SP CRD-OTH TEST",,,"ICD-9-CM"
"01350","1","Tuberculosis","TB SP CRD ABSCESS-UNSPEC",,,"ICD-9-CM"
"01351","1","Tuberculosis","TB SP CRD ABSC-NO EXAM",,,"ICD-9-CM"
"01352","1","Tuberculosis","TB SP CRD ABSC-EXAM UNKN",,,"ICD-9-CM"
"01353","1","Tuberculosis","TB SP CRD ABSC-MICRO DX",,,"ICD-9-CM"
"01354","1","Tuberculosis","TB SP CRD ABSC-CULT DX",,,"ICD-9-CM"
"01355","1","Tuberculosis","TB SP CRD ABSC-HISTO DX",,,"ICD-9-CM"
"01356","1","Tuberculosis","TB SP CRD ABSC-OTH TEST",,,"ICD-9-CM"
"01360","1","Tuberculosis","TB ENCEPHALITIS-UNSPEC",,,"ICD-9-CM"
"01361","1","Tuberculosis","TB ENCEPHALITIS-NO EXAM",,,"ICD-9-CM"
"01362","1","Tuberculosis","TB ENCEPHALIT-EXAM UNKN",,,"ICD-9-CM"
"01363","1","Tuberculosis","TB ENCEPHALITIS-MICRO DX",,,"ICD-9-CM"
"01364","1","Tuberculosis","TB ENCEPHALITIS-CULT DX",,,"ICD-9-CM"
"01365","1","Tuberculosis","TB ENCEPHALITIS-HISTO DX",,,"ICD-9-CM"
"01366","1","Tuberculosis","TB ENCEPHALITIS-OTH TEST",,,"ICD-9-CM"
"01380","1","Tuberculosis","CNS TB NEC-UNSPEC",,,"ICD-9-CM"
"01381","1","Tuberculosis","CNS TB NEC-NO EXAM",,,"ICD-9-CM"
"01382","1","Tuberculosis","CNS TB NEC-EXAM UNKN",,,"ICD-9-CM"
"01383","1","Tuberculosis","CNS TB NEC-MICRO DX",,,"ICD-9-CM"
"01384","1","Tuberculosis","CNS TB NEC-CULT DX",,,"ICD-9-CM"
"01385","1","Tuberculosis","CNS TB NEC-HISTO DX",,,"ICD-9-CM"
"01386","1","Tuberculosis","CNS TB NEC-OTH TEST",,,"ICD-9-CM"
"01390","1","Tuberculosis","CNS TB NOS-UNSPEC",,,"ICD-9-CM"
"01391","1","Tuberculosis","CNS TB NOS-NO EXAM",,,"ICD-9-CM"
"01392","1","Tuberculosis","CNS TB NOS-EXAM UNKN",,,"ICD-9-CM"
"01393","1","Tuberculosis","CNS TB NOS-MICRO DX",,,"ICD-9-CM"
"01394","1","Tuberculosis","CNS TB NOS-CULT DX",,,"ICD-9-CM"
"01395","1","Tuberculosis","CNS TB NOS-HISTO DX",,,"ICD-9-CM"
"01396","1","Tuberculosis","CNS TB NOS-OTH TEST",,,"ICD-9-CM"
"01400","1","Tuberculosis","TB PERITONITIS-UNSPEC",,,"ICD-9-CM"
"01401","1","Tuberculosis","TB PERITONITIS-NO EXAM",,,"ICD-9-CM"
"01402","1","Tuberculosis","TB PERITONITIS-EXAM UNKN",,,"ICD-9-CM"
"01403","1","Tuberculosis","TB PERITONITIS-MICRO DX",,,"ICD-9-CM"
"01404","1","Tuberculosis","TB PERITONITIS-CULT DX",,,"ICD-9-CM"
"01405","1","Tuberculosis","TB PERITONITIS-HISTO DX",,,"ICD-9-CM"
"01406","1","Tuberculosis","TB PERITONITIS-OTH TEST",,,"ICD-9-CM"
"01480","1","Tuberculosis","INTESTINAL TB NEC-UNSPEC",,,"ICD-9-CM"
"01481","1","Tuberculosis","INTESTIN TB NEC-NO EXAM",,,"ICD-9-CM"
"01482","1","Tuberculosis","INTEST TB NEC-EXAM UNKN",,,"ICD-9-CM"
"01483","1","Tuberculosis","INTESTIN TB NEC-MICRO DX",,,"ICD-9-CM"
"01484","1","Tuberculosis","INTESTIN TB NEC-CULT DX",,,"ICD-9-CM"
"01485","1","Tuberculosis","INTESTIN TB NEC-HISTO DX",,,"ICD-9-CM"
"01486","1","Tuberculosis","INTESTIN TB NEC-OTH TEST",,,"ICD-9-CM"
"01500","1","Tuberculosis","TB OF VERTEBRA-UNSPEC",,,"ICD-9-CM"
"01501","1","Tuberculosis","TB OF VERTEBRA-NO EXAM",,,"ICD-9-CM"
"01502","1","Tuberculosis","TB OF VERTEBRA-EXAM UNKN",,,"ICD-9-CM"
"01503","1","Tuberculosis","TB OF VERTEBRA-MICRO DX",,,"ICD-9-CM"
"01504","1","Tuberculosis","TB OF VERTEBRA-CULT DX",,,"ICD-9-CM"
"01505","1","Tuberculosis","TB OF VERTEBRA-HISTO DX",,,"ICD-9-CM"
"01506","1","Tuberculosis","TB OF VERTEBRA-OTH TEST",,,"ICD-9-CM"
"01510","1","Tuberculosis","TB OF HIP-UNSPEC",,,"ICD-9-CM"
"01511","1","Tuberculosis","TB OF HIP-NO EXAM",,,"ICD-9-CM"
"01512","1","Tuberculosis","TB OF HIP-EXAM UNKN",,,"ICD-9-CM"
"01513","1","Tuberculosis","TB OF HIP-MICRO DX",,,"ICD-9-CM"
"01514","1","Tuberculosis","TB OF HIP-CULT DX",,,"ICD-9-CM"
"01515","1","Tuberculosis","TB OF HIP-HISTO DX",,,"ICD-9-CM"
"01516","1","Tuberculosis","TB OF HIP-OTH TEST",,,"ICD-9-CM"
"01520","1","Tuberculosis","TB OF KNEE-UNSPEC",,,"ICD-9-CM"
